"286","ahmedmouhssin","ECOLO","223.jpg","Ahmed","Mouhssin","1967-08-28","",\N
"287","marienagy","ECOLO","1216.jpg","Marie","Nagy","1957-07-28","Bruxelles",""
"288","mohamedouriaghli","PS","225.jpg","Mohamed","Ouriaghli","1967-11-21","Laeken","Alderman (or Chair of CPAS)"
"289","mahinurozdemir","Independent","226.jpg","Mahinur","Ozdemir","1982-11-07","Schaerbeek","Brussels Parliament"
"290","eminozkara","PS","227.jpg","Emin","Özkara","1974-04-11","Schaerbeek","Brussels Parliament"
"291","martinepayfa","DéFI","2683.jpg","Martine","Payfa","1952-01-19","Watermael-Boitsfort","Province or municipal councillor"
"292","carolinepersoons","DéFI","1307.jpg","Caroline","Persoons","1965-04-07","Woluwe-Saint-Pierre","Parliament of the French Community"
"293","yaronpesztat","ECOLO","230.jpg","Yaron","Pesztat","1961-01-05","Ixelles",\N
"294","charlespicque","PS","231.jpg","Charles","Picqué","1948-11-01","Saint-Gilles","Chair of a parliament"
"296","philippepivin","MR","596.jpg","Philippe","Pivin","1954-08-04","Koekelberg","Mayor"
"297","magaliplovie","ECOLO","234.jpg","Magali","Plovie","1976-08-04","",\N
"298","joelriguelle","cdH","235.jpg","Joël","Riguelle","1954-10-27","Berchem-Sainte-Agathe","Mayor"
"299","jacquelinerousseaux","MR","236.jpg","Jacqueline","Rousseaux","1950-05-21","Bruxelles","Brussels Parliament"
"300","francoiseschepmans","MR","237.jpg","Françoise","Schepmans","1960-06-18","Molenbeek-Saint-Jean","Mayor"
"301","fatoumatasidibe","DéFI","238.jpg","Fatoumata","Sidibé","1963-06-18","Saint-Gilles","Brussels Parliament"
"302","vivianeteitelbaum","MR","3343.jpg","Viviane","Teitelbaum","1955-10-16","Ixelles","Brussels Parliament"
"303","erictomas","PS","240.jpg","Eric","Tomas","1948-05-16","Bruxelles","Mayor"
"304","barbaratrachte","ECOLO","241.jpg","Barbara","Trachte","1981-03-03","Schaerbeek","Province or municipal councillor"
"305","gaetanvangoidsenhoven","MR","858.jpg","Gaëtan","Van Goidsenhoven","1973-10-02","Anderlecht","Alderman (or Chair of CPAS)"
"306","fouadahidar","sp.a","243.jpg","Fouad","Ahidar","1973-10-13","Bruxelles",\N
"307","elsampe","Open VLD","244.jpg","Els","Ampe","1979-01-18","Brussel","Brussels Parliament"
"308","sophiebrouhon","sp.a","245.jpg","Sophie","Brouhon","1972-02-07","Brussel",""
"309","renecoppens","Open VLD","246.jpg","René","Coppens","1943-02-16","Ganshoren","Brussels Parliament"
"310","brigittedepauw","CD&V","247.jpg","Brigitte","De Pauw","1958-08-12","Jette","Alderman (or Chair of CPAS)"
