"265","willemdraps","MR","202","Willem","Draps","1952-05-03","Woluwe-Saint-Pierre","Brussels Parliament"
"266","francoisedupuis","PS","203","Françoise","Dupuis","1949-07-18","",""
"267","annecharlottedursel","MR","204","Anne-Charlotte","d'Ursel","1967-11-29","Woluwe-Saint-Pierre","Brussels Parliament"
"268","ahmedelkhannouss","cdH","205","Ahmed","El Khannouss","1968-01-26","Molenbeek-Saint-Jean","Alderman (or Chair of CPAS)"
"269","ahmedelktibi","PS","206","Ahmed","El Ktibi","1954-11-23","Bruxelles","Alderman (or Chair of CPAS)"
"270","nadiaelyousfi","PS","207","Nadia","El Yousfi","1965-02-01","Forest","Belgian Senate"
"271","hamzafassifihri","cdH","208","Hamza","Fassi-Fihri","1976-06-25","Bruxelles","Parliament of the French Community"
"272","beatricefraiteur","DéFI","209","Béatrice","Fraiteur","1956-06-28","Uccle",\N
"273","didiergosuin","DéFI","210","Didier","Gosuin","1952-07-09","Auderghem","Brussels Goverment"
"274","anneherscovici","ECOLO","211","Anne","Herscovici","1949-12-25","Ixelles",""
"276","jamalikazban","PS","213","Jamal","Ikazban","1970-12-02","Molenbeek-Saint-Jean","Parliament of the French Community"
"277","cecilejodogne","DéFI","214","Cécile","Jodogne","1964-04-01","Schaerbeek","Brussels Goverment"
"279","marionlemesre","MR","216","Marion","Lemesre","1954-07-22","Bruxelles","Alderman (or Chair of CPAS)"
"280","vincentlurquin","ECOLO","217","Vincent","Lurquin","1959-06-22","Bruxelles",\N
"281","giselemandaila","DéFI","218","Gisèle","Mandaila","1969-09-04","Etterbeek",\N
"282","alainmaron","ECOLO","219","Alain","Maron","1972-05-06","Saint-Gilles","Province or municipal councillor"
"283","pierremigisha","cdH","220","Pierre","Migisha","1971-08-26","Anderlecht",\N
"284","isabellemolenberg","DéFI","221","Isabelle","Molenberg","1970-02-21","Woluwe-Saint-Lambert",\N
"285","jacquesmorel","ECOLO","222","Jacques","Morel","1948-06-09","Schaerbeek",\N
"286","ahmedmouhssin","ECOLO","223","Ahmed","Mouhssin","1967-08-28","",\N
"287","marienagy","ECOLO","1216","Marie","Nagy","1957-07-28","Bruxelles",""
"288","mohamedouriaghli","PS","225","Mohamed","Ouriaghli","1967-11-21","Laeken","Alderman (or Chair of CPAS)"
"289","mahinurozdemir","Independent","226","Mahinur","Ozdemir","1982-11-07","Schaerbeek","Brussels Parliament"
"290","eminozkara","PS","227","Emin","Özkara","1974-04-11","Schaerbeek","Brussels Parliament"
"291","martinepayfa","DéFI","2683","Martine","Payfa","1952-01-19","Watermael-Boitsfort","Province or municipal councillor"
"292","carolinepersoons","DéFI","1307","Caroline","Persoons","1965-04-07","Woluwe-Saint-Pierre","Parliament of the French Community"
"293","yaronpesztat","ECOLO","230","Yaron","Pesztat","1961-01-05","Ixelles",\N
"294","charlespicque","PS","231","Charles","Picqué","1948-11-01","Saint-Gilles","Chair of a parliament"
"296","philippepivin","MR","596","Philippe","Pivin","1954-08-04","Koekelberg","Mayor"
"297","magaliplovie","ECOLO","234","Magali","Plovie","1976-08-04","",\N
"298","joelriguelle","cdH","235","Joël","Riguelle","1954-10-27","Berchem-Sainte-Agathe","Mayor"
